,ICC23
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_10Percentile,0.9855192257873591
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_90Percentile,0.9888713725440054
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Energy,0.9993918457171658
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Entropy,0.9726543074495482
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_InterquartileRange,0.9776563514173028
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.8573883220069869
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Maximum,0.6525765907294548
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Mean,0.9547554943320398
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.9852426099249465
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Median,0.924995777914285
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Minimum,0.821066538238802
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Range,0.7947204622741296
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.9778166424090172
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,0.9543823256218745
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Skewness,0.9124910252171982
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_TotalEnergy,0.999392864508498
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Uniformity,0.9656842000437937
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Variance,0.983800259928218
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_Autocorrelation,0.9984229128714663
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_ClusterProminence,0.9497238645124522
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_ClusterShade,0.8701926342415544
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_ClusterTendency,0.9643903502613187
