,ICC123
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_10Percentile,0.9973162115502597
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_90Percentile,0.9981644309311938
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Energy,0.99996441648706
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Entropy,0.9972192496491512
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_InterquartileRange,0.9991787775617367
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.9982059504096066
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Maximum,0.97925758630266
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Mean,0.9981475673823215
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.9987894572047161
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Median,0.9984255336963421
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Minimum,0.9995509827416937
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Range,0.9917360740651028
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.9987148666510015
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,0.9981434414716327
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Skewness,0.9940473612192439
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_TotalEnergy,0.99996441648706
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Uniformity,0.9990860098899766
non_contrast.nii_log-sigma-1-0-mm-3D_firstorder_Variance,0.9982632245889919
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_Autocorrelation,0.9999839625815485
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_ClusterProminence,0.9957191449120828
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_ClusterShade,0.9967126203022225
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_ClusterTendency,0.9967809230493831
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_Contrast,0.9982176064250939
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_Correlation,0.9983196674470394
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_DifferenceAverage,0.99845378907108
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_DifferenceEntropy,0.9973696182050966
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_DifferenceVariance,0.9974989415795998
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_Id,0.9985220516051351
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_Idm,0.9984957300086661
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_Idmn,0.9958167911942414
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_Idn,0.9947265017994013
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_Imc1,0.9979325233312085
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_Imc2,0.9982115328814578
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_InverseVariance,0.9986221562712244
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_JointAverage,0.9999741820458913
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_JointEnergy,0.9987977646370617
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_JointEntropy,0.9968799392741818
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_MaximumProbability,0.9985877204711944
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_SumEntropy,0.9969150201783338
non_contrast.nii_log-sigma-1-0-mm-3D_glcm_SumSquares,0.9965970306944267
non_contrast.nii_log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.9987010140698388
non_contrast.nii_log-sigma-1-0-mm-3D_gldm_DependenceNonUniformity,0.9999801255484329
non_contrast.nii_log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.9985745833142365
non_contrast.nii_log-sigma-1-0-mm-3D_gldm_DependenceVariance,0.9977708071827168
non_contrast.nii_log-sigma-1-0-mm-3D_gldm_GrayLevelNonUniformity,0.9999613589006143
non_contrast.nii_log-sigma-1-0-mm-3D_gldm_GrayLevelVariance,0.9966542959536382
non_contrast.nii_log-sigma-1-0-mm-3D_gldm_HighGrayLevelEmphasis,0.9999849506094576
non_contrast.nii_log-sigma-1-0-mm-3D_gldm_LargeDependenceEmphasis,0.9968399013727492
non_contrast.nii_log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.9999808731043256
non_contrast.nii_log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.9996321700896179
non_contrast.nii_log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis,0.9999567119947149
non_contrast.nii_log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,0.9951857697035831
non_contrast.nii_log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.9994429289145154
non_contrast.nii_log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.9978487657477629
non_contrast.nii_log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformity,0.9999786864909177
non_contrast.nii_log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.9955339617727721
non_contrast.nii_log-sigma-1-0-mm-3D_glrlm_GrayLevelVariance,0.996000201369862
non_contrast.nii_log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.9999849271925223
non_contrast.nii_log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis,0.9977229271396731
non_contrast.nii_log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.9998347987288652
non_contrast.nii_log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.998872464519444
non_contrast.nii_log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.9999141514443931
non_contrast.nii_log-sigma-1-0-mm-3D_glrlm_RunEntropy,0.9966484124753089
non_contrast.nii_log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity,0.9999855769252702
non_contrast.nii_log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.998435342567166
non_contrast.nii_log-sigma-1-0-mm-3D_glrlm_RunPercentage,0.9976525803586301
non_contrast.nii_log-sigma-1-0-mm-3D_glrlm_RunVariance,0.9962675675835477
non_contrast.nii_log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis,0.999005545514834
non_contrast.nii_log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.9999268925820806
non_contrast.nii_log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.9997957412492101
non_contrast.nii_log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,0.9988610917235483
non_contrast.nii_log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.9769817818012676
non_contrast.nii_log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,0.9911080470154604
non_contrast.nii_log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.9983929423229552
non_contrast.nii_log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,0.9998862054771254
non_contrast.nii_log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.9998663640854673
non_contrast.nii_log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.9999060237557346
non_contrast.nii_log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.9973094063658026
non_contrast.nii_log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,0.998491974099685
non_contrast.nii_log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.9668723803446913
non_contrast.nii_log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.9889818520690308
non_contrast.nii_log-sigma-1-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.9949214179182547
non_contrast.nii_log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.9957703263687253
non_contrast.nii_log-sigma-1-0-mm-3D_glszm_ZoneEntropy,0.9947534448200991
non_contrast.nii_log-sigma-1-0-mm-3D_glszm_ZonePercentage,0.9953120958124658
non_contrast.nii_log-sigma-1-0-mm-3D_glszm_ZoneVariance,0.9998922835598091
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_10Percentile,0.9997746879486332
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_90Percentile,0.9931057173142854
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_Energy,0.999964757017196
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_Entropy,0.9990445254924543
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_InterquartileRange,0.9995347037816291
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.9979383365839894
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_Maximum,0.9993026728868508
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_Mean,0.9994306709995187
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.9996672949974589
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_Median,0.9986452970850481
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_Minimum,0.9889992827474458
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_Range,0.9969651777657471
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.999613769139667
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.9994229919457572
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_Skewness,0.999009661625715
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_TotalEnergy,0.999964757017196
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_Uniformity,0.9980628914440428
non_contrast.nii_log-sigma-2-0-mm-3D_firstorder_Variance,0.9996334327388301
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.9866371256667267
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.9993826276794129
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_ClusterShade,0.9967476843269468
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_ClusterTendency,0.9992472160638325
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_Contrast,0.9943205460202231
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_Correlation,0.999370121706024
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_DifferenceAverage,0.9942532456057158
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_DifferenceEntropy,0.993906143440239
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_DifferenceVariance,0.9942677930300071
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_Id,0.9942369966023165
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_Idm,0.9942421430880211
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_Idmn,0.9994168056093651
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_Idn,0.9982561695797925
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_Imc1,0.9983830843550069
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_Imc2,0.9996484207170095
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_InverseVariance,0.9942164834798505
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_JointAverage,0.9939871470394841
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_JointEnergy,0.9981137068898146
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_JointEntropy,0.9985472505425065
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_MaximumProbability,0.9973548197085278
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_SumEntropy,0.9987887866487652
non_contrast.nii_log-sigma-2-0-mm-3D_glcm_SumSquares,0.9991352371110592
non_contrast.nii_log-sigma-2-0-mm-3D_gldm_DependenceEntropy,0.9990633506681669
non_contrast.nii_log-sigma-2-0-mm-3D_gldm_DependenceNonUniformity,0.9998822398816393
non_contrast.nii_log-sigma-2-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.9990942296269902
non_contrast.nii_log-sigma-2-0-mm-3D_gldm_DependenceVariance,0.9983863477112233
non_contrast.nii_log-sigma-2-0-mm-3D_gldm_GrayLevelNonUniformity,0.9999605139370936
non_contrast.nii_log-sigma-2-0-mm-3D_gldm_GrayLevelVariance,0.9992016640154554
non_contrast.nii_log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,0.9865680816220534
non_contrast.nii_log-sigma-2-0-mm-3D_gldm_LargeDependenceEmphasis,0.9990233153904247
non_contrast.nii_log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.9867649045711837
non_contrast.nii_log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.9988781440545118
non_contrast.nii_log-sigma-2-0-mm-3D_gldm_LowGrayLevelEmphasis,0.9995291984114656
non_contrast.nii_log-sigma-2-0-mm-3D_gldm_SmallDependenceEmphasis,0.9920679391828685
non_contrast.nii_log-sigma-2-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.989691298144558
non_contrast.nii_log-sigma-2-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.9959550372937067
non_contrast.nii_log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,0.9999862847161415
